,#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
267,266,Kyle Gibson,BAL,6.0,3.0,3.82,11.0,11.0,0.0,0.0,0.0,0.0,0.0,66.0,271.0,64.0,28.0,28.0,6.0,22.0,0.0,1.0,4.0,0.0,44.0
268,267,Martin Perez,TEX,6.0,1.0,3.83,10.0,10.0,0.0,0.0,0.0,0.0,0.0,56.1,245.0,67.0,26.0,24.0,8.0,16.0,0.0,1.0,0.0,2.0,41.0
269,268,Kyle Freeland,COL,4.0,5.0,3.86,11.0,11.0,0.0,0.0,0.0,0.0,0.0,58.1,242.0,61.0,30.0,25.0,8.0,14.0,0.0,0.0,1.0,0.0,42.0
270,269,Vince Velasquez,PIT,4.0,4.0,3.86,8.0,8.0,0.0,0.0,0.0,0.0,0.0,37.1,162.0,35.0,16.0,16.0,4.0,14.0,0.0,1.0,2.0,0.0,37.0
271,270,Eury Perez,MIA,1.0,1.0,3.86,3.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,59.0,11.0,7.0,6.0,3.0,6.0,0.0,0.0,1.0,0.0,16.0
272,271,Ryne Stanek,HOU,2.0,1.0,3.86,17.0,0.0,0.0,0.0,0.0,1.0,1.0,16.1,73.0,13.0,8.0,7.0,1.0,12.0,1.0,0.0,2.0,0.0,16.0
273,272,Albert Abreu,NYY,2.0,1.0,3.86,20.0,0.0,0.0,0.0,0.0,3.0,0.0,25.2,114.0,20.0,14.0,11.0,3.0,16.0,1.0,2.0,2.0,0.0,26.0
274,273,Mike Brosseau,MIL,0.0,0.0,3.86,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,9.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
275,274,Randy Vasquez,NYY,0.0,1.0,3.86,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,23.0,4.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,6.0
276,275,Bryan Hoeing,MIA,0.0,1.0,3.86,11.0,2.0,0.0,0.0,0.0,1.0,0.0,18.2,82.0,19.0,9.0,8.0,1.0,9.0,2.0,1.0,0.0,0.0,13.0
277,276,Chris Stratton,STL,1.0,0.0,3.86,20.0,0.0,0.0,0.0,0.0,1.0,1.0,30.1,117.0,24.0,13.0,13.0,2.0,5.0,0.0,1.0,2.0,0.0,32.0
278,277,Trevor Richards,TOR,0.0,0.0,3.86,16.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,92.0,16.0,10.0,9.0,3.0,11.0,0.0,2.0,0.0,0.0,31.0
279,278,Ian Gibaut,CIN,4.0,1.0,3.86,23.0,0.0,0.0,0.0,1.0,5.0,3.0,23.1,96.0,20.0,11.0,10.0,3.0,10.0,0.0,2.0,0.0,0.0,22.0
280,279,MacKenzie Gore,WSN,3.0,3.0,3.88,10.0,10.0,0.0,0.0,0.0,0.0,0.0,51.0,223.0,51.0,22.0,22.0,7.0,27.0,0.0,0.0,4.0,0.0,63.0
281,280,Jovani Moran,MIN,0.0,1.0,3.91,20.0,0.0,0.0,0.0,0.0,6.0,1.0,23.0,97.0,17.0,12.0,10.0,2.0,13.0,0.0,0.0,2.0,0.0,27.0
282,281,Drew Smith,NYM,3.0,1.0,3.93,20.0,0.0,0.0,0.0,1.0,7.0,0.0,18.1,80.0,14.0,9.0,8.0,2.0,10.0,0.0,4.0,0.0,0.0,23.0
283,282,Kris Bubic,KCR,0.0,2.0,3.94,3.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,68.0,19.0,7.0,7.0,1.0,2.0,0.0,1.0,1.0,0.0,16.0
284,283,Kodai Senga,NYM,4.0,3.0,3.94,9.0,9.0,0.0,0.0,0.0,0.0,0.0,48.0,213.0,42.0,21.0,21.0,6.0,31.0,0.0,0.0,5.0,1.0,61.0
285,284,Ryan Weathers,SDP,1.0,3.0,3.94,7.0,5.0,0.0,0.0,0.0,1.0,0.0,29.2,118.0,25.0,14.0,13.0,2.0,11.0,0.0,1.0,1.0,0.0,18.0
286,285,Mason Thompson,WSN,3.0,2.0,3.95,20.0,0.0,0.0,0.0,1.0,1.0,2.0,27.1,112.0,24.0,13.0,12.0,2.0,8.0,0.0,1.0,2.0,0.0,24.0
287,286,Huascar Brazoban,MIA,0.0,1.0,3.95,24.0,0.0,0.0,0.0,0.0,8.0,2.0,27.1,123.0,30.0,12.0,12.0,1.0,13.0,1.0,2.0,1.0,0.0,30.0
288,287,Lucas Giolito,CHW,3.0,4.0,3.98,11.0,11.0,0.0,0.0,0.0,0.0,0.0,63.1,268.0,61.0,29.0,28.0,9.0,19.0,0.0,4.0,0.0,0.0,64.0
289,288,Trevor Rogers,MIA,1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,79.0,16.0,9.0,8.0,2.0,6.0,0.0,3.0,0.0,0.0,19.0
290,289,Luis Garcia,HOU,2.0,2.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,115.0,25.0,12.0,12.0,3.0,10.0,0.0,1.0,0.0,1.0,31.0
291,290,Luis Ortiz,PIT,1.0,2.0,4.02,3.0,3.0,0.0,0.0,0.0,0.0,0.0,15.2,72.0,19.0,11.0,7.0,1.0,7.0,0.0,0.0,2.0,0.0,8.0
292,291,Scott Barlow,KCR,1.0,3.0,4.05,19.0,0.0,0.0,0.0,6.0,0.0,1.0,20.0,82.0,14.0,11.0,9.0,2.0,10.0,0.0,0.0,1.0,0.0,28.0
293,292,Seranthony Dominguez,PHI,1.0,2.0,4.05,24.0,0.0,0.0,0.0,0.0,6.0,1.0,20.0,96.0,22.0,13.0,9.0,1.0,9.0,0.0,4.0,0.0,0.0,22.0
294,293,Brayan Bello,BOS,3.0,2.0,4.08,7.0,7.0,0.0,0.0,0.0,0.0,0.0,35.1,157.0,39.0,18.0,16.0,7.0,12.0,0.0,2.0,1.0,0.0,37.0
295,294,Austin Voth,BAL,1.0,1.0,4.1,18.0,0.0,0.0,0.0,0.0,3.0,1.0,26.1,114.0,26.0,13.0,12.0,5.0,7.0,1.0,3.0,0.0,0.0,25.0
296,295,Seth Lugo,SDP,3.0,3.0,4.1,8.0,8.0,0.0,0.0,0.0,0.0,0.0,41.2,178.0,46.0,19.0,19.0,5.0,11.0,0.0,2.0,2.0,0.0,38.0
297,296,Lucas Sims,CIN,1.0,1.0,4.11,16.0,0.0,0.0,0.0,0.0,4.0,1.0,15.1,66.0,7.0,7.0,7.0,0.0,12.0,1.0,3.0,2.0,0.0,19.0
298,297,Pablo Lopez,MIN,3.0,3.0,4.11,11.0,11.0,0.0,0.0,0.0,0.0,0.0,65.2,270.0,54.0,30.0,30.0,10.0,20.0,1.0,5.0,3.0,0.0,81.0
299,298,Andre Pallante,STL,2.0,0.0,4.12,17.0,0.0,0.0,0.0,0.0,3.0,2.0,19.2,84.0,20.0,9.0,9.0,3.0,8.0,0.0,1.0,2.0,0.0,17.0
300,299,Hoby Milner,MIL,0.0,0.0,4.12,23.0,0.0,0.0,0.0,0.0,4.0,1.0,19.2,81.0,21.0,9.0,9.0,4.0,4.0,0.0,1.0,0.0,0.0,16.0
301,300,Jakob Junis,SFG,3.0,2.0,4.13,14.0,0.0,0.0,0.0,0.0,1.0,0.0,28.1,128.0,33.0,14.0,13.0,5.0,14.0,1.0,1.0,0.0,0.0,33.0
302,301,Alex Faedo,DET,1.0,2.0,4.15,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.2,82.0,15.0,11.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,22.0
303,302,James Naile,STL,0.0,0.0,4.15,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.1,24.0,8.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
304,303,John King,TEX,0.0,0.0,4.15,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.1,23.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
305,304,Tim Hill,SDP,1.0,1.0,4.15,24.0,0.0,0.0,0.0,0.0,6.0,1.0,21.2,95.0,25.0,10.0,10.0,4.0,5.0,0.0,4.0,0.0,0.0,13.0
306,305,Hunter Greene,CIN,1.0,4.0,4.18,11.0,11.0,0.0,0.0,0.0,0.0,0.0,56.0,244.0,55.0,28.0,26.0,8.0,22.0,0.0,3.0,3.0,0.0,80.0
307,306,Scott Alexander,SFG,4.0,0.0,4.19,22.0,1.0,0.0,0.0,1.0,3.0,2.0,19.1,76.0,14.0,9.0,9.0,1.0,4.0,1.0,1.0,2.0,0.0,10.0
308,307,Kevin Kelly,TBR,3.0,1.0,4.21,22.0,0.0,0.0,0.0,1.0,5.0,1.0,25.2,115.0,31.0,12.0,12.0,0.0,7.0,1.0,4.0,0.0,0.0,19.0
309,308,Keegan Thompson,CHC,2.0,2.0,4.22,15.0,0.0,0.0,0.0,0.0,3.0,0.0,21.1,91.0,14.0,10.0,10.0,1.0,14.0,0.0,0.0,2.0,0.0,16.0
310,309,Jose Berrios,TOR,4.0,4.0,4.22,10.0,10.0,0.0,0.0,0.0,0.0,0.0,59.2,247.0,59.0,30.0,28.0,7.0,14.0,0.0,3.0,0.0,1.0,57.0
311,310,Miles Mikolas,STL,3.0,1.0,4.23,11.0,11.0,0.0,0.0,0.0,0.0,0.0,61.2,271.0,72.0,30.0,29.0,8.0,14.0,0.0,3.0,1.0,0.0,48.0
312,311,Louie Varland,MIN,2.0,1.0,4.24,6.0,6.0,0.0,0.0,0.0,0.0,0.0,34.0,143.0,35.0,16.0,16.0,9.0,7.0,0.0,1.0,2.0,0.0,34.0
313,312,Michael Kopech,CHW,3.0,4.0,4.24,10.0,10.0,0.0,0.0,0.0,0.0,0.0,57.1,239.0,41.0,27.0,27.0,12.0,29.0,0.0,4.0,1.0,0.0,60.0
314,313,Austin Pruitt,OAK,1.0,2.0,4.26,11.0,2.0,0.0,0.0,0.0,1.0,0.0,12.2,59.0,16.0,6.0,6.0,2.0,5.0,1.0,0.0,1.0,0.0,8.0
315,314,Ron Marinaccio,NYY,2.0,1.0,4.26,22.0,0.0,0.0,0.0,1.0,4.0,2.0,25.1,107.0,16.0,13.0,12.0,3.0,13.0,0.0,3.0,1.0,0.0,31.0
316,315,Rich Hill,PIT,4.0,4.0,4.27,10.0,10.0,0.0,0.0,0.0,0.0,0.0,52.2,227.0,56.0,29.0,25.0,8.0,17.0,0.0,0.0,1.0,1.0,52.0
317,316,Kyle Finnegan,WSN,1.0,2.0,4.29,22.0,0.0,0.0,0.0,11.0,3.0,2.0,21.0,93.0,23.0,12.0,10.0,4.0,10.0,1.0,1.0,0.0,0.0,22.0
318,317,Joe Kelly,CHW,1.0,2.0,4.3,15.0,0.0,0.0,0.0,1.0,5.0,2.0,14.2,57.0,12.0,7.0,7.0,2.0,1.0,0.0,0.0,1.0,1.0,19.0
319,318,Peter Strzelecki,MIL,2.0,4.0,4.3,24.0,0.0,0.0,0.0,0.0,12.0,0.0,23.0,100.0,22.0,11.0,11.0,1.0,5.0,0.0,5.0,0.0,0.0,21.0
320,319,Trevor Williams,WSN,2.0,2.0,4.32,10.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,212.0,49.0,25.0,24.0,9.0,13.0,0.0,2.0,0.0,1.0,37.0
321,320,Tylor Megill,NYM,5.0,3.0,4.32,10.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,220.0,49.0,27.0,24.0,8.0,25.0,0.0,3.0,0.0,0.0,40.0
322,321,Colten Brewer,NYY,0.0,0.0,4.32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,34.0,6.0,4.0,4.0,3.0,3.0,0.0,1.0,1.0,0.0,4.0
323,322,Raisel Iglesias,ATL,1.0,1.0,4.32,9.0,0.0,0.0,0.0,4.0,0.0,1.0,8.1,34.0,7.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0
324,323,Kyle Bradish,BAL,2.0,1.0,4.34,8.0,8.0,0.0,0.0,0.0,0.0,0.0,37.1,162.0,39.0,19.0,18.0,5.0,13.0,0.0,2.0,1.0,0.0,32.0
325,324,Seth Martinez,HOU,1.0,1.0,4.34,16.0,0.0,0.0,0.0,0.0,1.0,0.0,18.2,83.0,19.0,9.0,9.0,2.0,7.0,0.0,2.0,0.0,0.0,20.0
326,325,Casey Legumina,CIN,1.0,0.0,4.35,8.0,0.0,0.0,0.0,0.0,1.0,0.0,10.1,46.0,12.0,8.0,5.0,2.0,5.0,0.0,0.0,1.0,0.0,9.0
327,326,Brad Keller,KCR,3.0,4.0,4.36,9.0,9.0,0.0,0.0,0.0,0.0,0.0,43.1,201.0,41.0,23.0,21.0,3.0,40.0,0.0,3.0,7.0,0.0,31.0
328,327,Jimmy Herget,LAA,0.0,2.0,4.38,12.0,0.0,0.0,0.0,0.0,4.0,2.0,12.1,54.0,14.0,6.0,6.0,2.0,4.0,2.0,1.0,0.0,0.0,9.0
329,328,Robert Stephenson,PIT,0.0,2.0,4.38,16.0,0.0,0.0,0.0,0.0,6.0,1.0,12.1,54.0,11.0,6.0,6.0,2.0,7.0,0.0,0.0,0.0,0.0,14.0
330,329,Julio Urias,LAD,5.0,4.0,4.39,10.0,10.0,0.0,0.0,0.0,0.0,0.0,55.1,227.0,53.0,28.0,27.0,14.0,11.0,0.0,1.0,0.0,0.0,53.0
331,330,Taylor Rogers,SFG,1.0,2.0,4.41,20.0,0.0,0.0,0.0,1.0,3.0,0.0,16.1,72.0,12.0,9.0,8.0,3.0,10.0,0.0,2.0,2.0,0.0,16.0
332,331,Stephen Nogosek,NYM,0.0,0.0,4.43,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,92.0,19.0,10.0,10.0,3.0,12.0,0.0,2.0,2.0,0.0,21.0
333,332,Joey Lucchesi,NYM,1.0,0.0,4.43,5.0,5.0,0.0,0.0,0.0,0.0,0.0,22.1,93.0,22.0,11.0,11.0,4.0,8.0,0.0,0.0,0.0,0.0,17.0
334,333,Taj Bradley,TBR,3.0,1.0,4.44,5.0,5.0,0.0,0.0,0.0,0.0,0.0,24.1,101.0,24.0,12.0,12.0,4.0,4.0,0.0,1.0,1.0,0.0,34.0
335,334,Luke Maile,CIN,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,335,Jacob Stallings,MIA,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
337,336,Jason Vosler,CIN,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,337,Ronel Blanco,HOU,0.0,0.0,4.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,59.0,16.0,9.0,6.0,1.0,7.0,0.0,1.0,1.0,0.0,16.0
339,338,Yerry Rodriguez,TEX,0.0,0.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
340,339,Roansy Contreras,PIT,3.0,4.0,4.5,9.0,9.0,0.0,0.0,0.0,0.0,0.0,50.0,213.0,48.0,25.0,25.0,5.0,23.0,1.0,1.0,3.0,0.0,35.0
341,340,Cody Bolton,PIT,0.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,7.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0
342,341,Sam Bachman,LAA,0.0,0.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0
343,342,Braxton Garrett,MIA,1.0,2.0,4.5,10.0,9.0,0.0,0.0,0.0,0.0,0.0,48.0,208.0,56.0,24.0,24.0,7.0,11.0,0.0,2.0,0.0,0.0,47.0
344,343,Tommy Henry,ARI,2.0,1.0,4.5,7.0,6.0,0.0,0.0,0.0,0.0,0.0,34.0,143.0,33.0,17.0,17.0,6.0,14.0,0.0,1.0,1.0,0.0,18.0
345,344,Anthony Bass,TOR,0.0,0.0,4.5,20.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,78.0,16.0,10.0,9.0,2.0,8.0,2.0,0.0,1.0,0.0,18.0
346,345,Alan Busenitz,CIN,0.0,0.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,7.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
347,346,Matt Gage,HOU,0.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0
348,347,Sam Hentges,CLE,0.0,0.0,4.5,7.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,24.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0
349,348,Austin Adams,ARI,0.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
350,349,Zack Greinke,KCR,1.0,5.0,4.55,11.0,11.0,0.0,0.0,0.0,0.0,0.0,57.1,236.0,60.0,31.0,29.0,10.0,8.0,0.0,1.0,0.0,0.0,41.0
351,350,Jordan Montgomery,STL,2.0,6.0,4.55,10.0,10.0,0.0,0.0,0.0,0.0,0.0,55.1,246.0,63.0,29.0,28.0,7.0,16.0,0.0,2.0,1.0,0.0,52.0
352,351,Yusei Kikuchi,TOR,5.0,2.0,4.56,10.0,10.0,0.0,0.0,0.0,0.0,0.0,51.1,220.0,57.0,27.0,26.0,14.0,14.0,0.0,1.0,3.0,0.0,48.0
353,352,Mike Clevinger,CHW,3.0,3.0,4.56,9.0,9.0,0.0,0.0,0.0,0.0,0.0,47.1,211.0,47.0,24.0,24.0,7.0,22.0,0.0,3.0,2.0,0.0,40.0
354,353,Emilio Pagan,MIN,3.0,0.0,4.57,19.0,0.0,0.0,0.0,0.0,0.0,1.0,21.2,92.0,20.0,12.0,11.0,1.0,8.0,1.0,0.0,0.0,0.0,23.0
355,354,James Karinchak,CLE,1.0,4.0,4.57,25.0,0.0,0.0,0.0,0.0,9.0,2.0,21.2,95.0,13.0,11.0,11.0,6.0,16.0,1.0,2.0,1.0,0.0,31.0
356,355,Dean Kremer,BAL,5.0,2.0,4.58,11.0,11.0,0.0,0.0,0.0,0.0,0.0,59.0,253.0,68.0,30.0,30.0,9.0,17.0,0.0,2.0,2.0,0.0,48.0
357,356,Adam Ottavino,NYM,0.0,2.0,4.58,22.0,0.0,0.0,0.0,5.0,5.0,1.0,19.2,81.0,16.0,10.0,10.0,3.0,6.0,0.0,3.0,0.0,1.0,20.0
358,357,Thad Ward,WSN,0.0,0.0,4.58,13.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,74.0,9.0,9.0,9.0,3.0,15.0,1.0,0.0,0.0,0.0,16.0
359,358,Joe Jimenez,ATL,0.0,1.0,4.58,19.0,0.0,0.0,0.0,0.0,2.0,1.0,17.2,79.0,20.0,10.0,9.0,4.0,5.0,0.0,1.0,0.0,0.0,23.0
360,359,Aaron Nola,PHI,4.0,3.0,4.59,11.0,11.0,0.0,0.0,0.0,0.0,0.0,68.2,277.0,62.0,36.0,35.0,11.0,15.0,0.0,1.0,0.0,0.0,60.0
361,360,Dylan Cease,CHW,3.0,3.0,4.6,11.0,11.0,0.0,0.0,0.0,0.0,0.0,58.2,261.0,55.0,35.0,30.0,7.0,25.0,1.0,5.0,1.0,0.0,60.0
362,361,Matt Manning,DET,1.0,1.0,4.63,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.2,48.0,12.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0
363,362,Tristan Beck,SFG,0.0,0.0,4.63,9.0,0.0,0.0,0.0,1.0,1.0,0.0,23.1,98.0,25.0,12.0,12.0,5.0,4.0,0.0,2.0,2.0,0.0,20.0
364,363,Zack Thompson,STL,1.0,2.0,4.63,11.0,0.0,0.0,0.0,0.0,1.0,0.0,11.2,55.0,12.0,7.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,18.0
365,364,Freddy Peralta,MIL,5.0,4.0,4.64,10.0,10.0,0.0,0.0,0.0,0.0,0.0,54.1,240.0,54.0,34.0,28.0,8.0,23.0,0.0,2.0,2.0,0.0,58.0
366,365,Matt Brash,SEA,3.0,3.0,4.64,26.0,0.0,0.0,0.0,1.0,4.0,3.0,21.1,102.0,26.0,12.0,11.0,1.0,9.0,0.0,4.0,3.0,0.0,41.0
367,366,Luis Garcia,SDP,1.0,3.0,4.66,21.0,0.0,0.0,0.0,0.0,7.0,1.0,19.1,88.0,19.0,12.0,10.0,0.0,9.0,0.0,2.0,0.0,0.0,20.0
368,367,Wil Crowe,PIT,0.0,1.0,4.66,5.0,0.0,0.0,0.0,1.0,0.0,1.0,9.2,47.0,9.0,6.0,5.0,1.0,9.0,1.0,1.0,2.0,0.0,9.0
369,368,Chasen Shreve,DET,1.0,2.0,4.66,20.0,0.0,0.0,0.0,0.0,6.0,3.0,19.1,85.0,21.0,11.0,10.0,3.0,5.0,0.0,1.0,2.0,0.0,19.0
370,369,Johan Oviedo,PIT,3.0,4.0,4.7,10.0,10.0,0.0,0.0,0.0,0.0,0.0,53.2,248.0,57.0,31.0,28.0,5.0,25.0,1.0,0.0,2.0,1.0,48.0
371,370,JP Sears,OAK,0.0,3.0,4.7,10.0,10.0,0.0,0.0,0.0,0.0,0.0,53.2,222.0,49.0,29.0,28.0,12.0,10.0,0.0,6.0,0.0,0.0,52.0
372,371,Antonio Senzatela,COL,0.0,1.0,4.7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.2,30.0,7.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0
373,372,Colin Rea,MIL,1.0,3.0,4.71,8.0,7.0,0.0,0.0,0.0,0.0,0.0,36.1,152.0,31.0,19.0,19.0,6.0,15.0,0.0,2.0,1.0,0.0,29.0
374,373,Chris Sale,BOS,5.0,2.0,4.72,10.0,10.0,0.0,0.0,0.0,0.0,0.0,55.1,233.0,50.0,30.0,29.0,8.0,14.0,0.0,6.0,2.0,0.0,65.0
375,374,Jalen Beeks,TBR,1.0,2.0,4.73,19.0,6.0,0.0,0.0,0.0,2.0,0.0,26.2,115.0,21.0,14.0,14.0,3.0,13.0,0.0,1.0,2.0,0.0,24.0
376,375,Cal Quantrill,CLE,2.0,3.0,4.75,10.0,10.0,0.0,0.0,0.0,0.0,0.0,55.0,242.0,56.0,30.0,29.0,7.0,18.0,0.0,4.0,3.0,0.0,31.0
377,376,Jose De Leon,MIN,0.0,1.0,4.76,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,23.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
378,377,Julian Merryweather,CHC,0.0,0.0,4.79,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,90.0,23.0,11.0,11.0,2.0,6.0,0.0,0.0,1.0,0.0,27.0
379,378,Jordan Hicks,STL,0.0,3.0,4.79,20.0,0.0,0.0,0.0,0.0,4.0,2.0,20.2,97.0,17.0,13.0,11.0,2.0,17.0,0.0,2.0,5.0,0.0,33.0
380,379,Justin Verlander,NYM,2.0,2.0,4.8,5.0,5.0,0.0,0.0,0.0,0.0,0.0,30.0,121.0,27.0,16.0,16.0,5.0,6.0,0.0,0.0,1.0,0.0,22.0
381,380,Tyler Anderson,LAA,2.0,0.0,4.81,9.0,9.0,0.0,0.0,0.0,0.0,0.0,48.2,220.0,53.0,28.0,26.0,7.0,23.0,0.0,3.0,3.0,0.0,30.0
382,381,Jack Flaherty,STL,3.0,4.0,4.81,11.0,11.0,0.0,0.0,0.0,0.0,0.0,58.0,252.0,55.0,33.0,31.0,6.0,34.0,0.0,4.0,2.0,0.0,58.0
383,382,Sam Moll,OAK,0.0,2.0,4.82,23.0,0.0,0.0,0.0,0.0,4.0,0.0,18.2,79.0,8.0,11.0,10.0,0.0,13.0,2.0,5.0,4.0,0.0,18.0
384,383,Adam Cimber,TOR,0.0,0.0,4.85,14.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,59.0,14.0,7.0,7.0,4.0,6.0,0.0,1.0,0.0,0.0,7.0
385,384,John Curtiss,NYM,0.0,0.0,4.85,11.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,53.0,11.0,7.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0
386,385,Sandy Alcantara,MIA,2.0,5.0,4.86,10.0,10.0,1.0,1.0,0.0,0.0,0.0,63.0,264.0,57.0,36.0,34.0,6.0,20.0,0.0,3.0,2.0,0.0,57.0
387,386,Patrick Corbin,WSN,4.0,5.0,4.88,11.0,11.0,0.0,0.0,0.0,0.0,0.0,62.2,275.0,75.0,39.0,34.0,9.0,14.0,0.0,0.0,2.0,0.0,40.0
388,387,Matthew Liberatore,STL,1.0,1.0,4.91,3.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,50.0,9.0,6.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,9.0
389,388,Garrett Crochet,CHW,0.0,0.0,4.91,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,20.0,2.0,2.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0
390,389,Reid Detmers,LAA,0.0,4.0,4.93,9.0,9.0,0.0,0.0,0.0,0.0,0.0,45.2,204.0,51.0,30.0,25.0,5.0,19.0,0.0,3.0,2.0,0.0,58.0
391,390,German Marquez,COL,2.0,2.0,4.95,4.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,19.0,11.0,11.0,4.0,3.0,0.0,0.0,0.0,1.0,17.0
392,391,Griffin Canning,LAA,3.0,2.0,4.95,7.0,7.0,0.0,0.0,0.0,0.0,0.0,36.1,157.0,35.0,20.0,20.0,5.0,14.0,0.0,2.0,2.0,0.0,30.0
393,392,Josh Staumont,KCR,0.0,0.0,4.96,17.0,0.0,0.0,0.0,0.0,1.0,0.0,16.1,71.0,12.0,9.0,9.0,0.0,10.0,0.0,2.0,3.0,0.0,20.0
394,393,Javier Assad,CHC,0.0,2.0,4.98,7.0,1.0,0.0,0.0,0.0,0.0,1.0,21.2,90.0,22.0,12.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,15.0
395,394,Tanner Houck,BOS,3.0,3.0,4.99,9.0,9.0,0.0,0.0,0.0,0.0,0.0,48.2,204.0,44.0,28.0,27.0,5.0,17.0,0.0,1.0,0.0,0.0,46.0
396,395,Edward Cabrera,MIA,3.0,4.0,5.02,11.0,11.0,0.0,0.0,0.0,0.0,0.0,52.0,232.0,43.0,29.0,29.0,7.0,35.0,0.0,2.0,0.0,2.0,66.0
397,396,Ryne Nelson,ARI,1.0,2.0,5.02,10.0,10.0,0.0,0.0,0.0,0.0,0.0,52.0,219.0,56.0,30.0,29.0,7.0,15.0,0.0,0.0,3.0,1.0,36.0
398,397,Justin Bruihl,LAD,1.0,0.0,5.02,12.0,0.0,0.0,0.0,0.0,1.0,0.0,14.1,61.0,17.0,8.0,8.0,2.0,3.0,0.0,1.0,0.0,0.0,13.0
399,398,Brandon Williamson,CIN,0.0,0.0,5.02,3.0,3.0,0.0,0.0,0.0,0.0,0.0,14.1,63.0,12.0,9.0,8.0,2.0,9.0,0.0,0.0,0.0,0.0,12.0
